member count,person count,title,last name,first name,middle name,house,Division,State/Territory,Date of election,Type of election,Date ceased to be a Member,reason,Most recent party
,,,,,,,,,,,,,,
1,,,Abbott,Anthony,John,representatives,Warringah,NSW,26.3.1994,by_election, ,still_in_office,LIB
3,,,Adams,Dick,Godfrey Harry,representatives,Lyons,Tas.,13.3.1993,, ,still_in_office,ALP
4,,,Adermann,Albert,Evan,representatives,Fairfax,Qld,1.12.1984,,19.2.1990,retired,NPA
5,,,Adermann,Albert,Evan,representatives,Fisher,Qld,2.12.1972,,1.12.1984,elected_elsewhere,NPA
6,,,Albanese,Anthony,Norman,representatives,Grayndler,NSW,2.3.1996,, ,still_in_office,ALP
7,,,Aldred,Kenneth,James,representatives,Bruce,Vic.,28.5.1983,by_election,24.3.1990,elected_elsewhere,LIB
8,,,Aldred,Kenneth,James,representatives,Deakin,Vic.,24.3.1990,,29.1.1996,retired,LIB
9,,,Aldred,Kenneth,James,representatives,Henty,Vic.,13.12.1975,,18.10.1980,defeated,LIB
10,,,Anderson,John,Duncan,representatives,Gwydir,NSW,15.4.1989,by_election,17.10.2007,retired,NP
11,,,Andren,Peter,James,representatives,Calare,NSW,2.3.1996,,17.10.2007,retired,IND
12,,,Andrew,John,Neil,representatives,Wakefield,SA,5.3.1983,,10.11.1998,changed_party,LIB
584,,,Andrew,John,Neil,representatives,Wakefield,SA,10.11.1998,changed_party,31.8.2004,retired,SPK
13,,,Andrews,Kevin,James,representatives,Menzies,Vic.,11.5.1991,by_election, ,still_in_office,LIB
14,,,Anthony,John,Douglas,representatives,Richmond,NSW,14.9.1957,by_election,18.1.1984,resigned,NPA
15,,,Anthony,Lawrence,James,representatives,Richmond,NSW,2.3.1996,,9.10.2004,defeated,NP
16,,,Armitage,John,Lindsay,representatives,Chifley,NSW,25.10.1969,,4.2.1983,retired,ALP
17,,,Armitage,John,Lindsay,representatives,Mitchell,NSW,9.12.1961,,30.11.1963,defeated,ALP
18,,,Atkinson,Rodney,Alexander,representatives,Isaacs,Vic.,24.3.1990,,2.3.1996,defeated,LIB
19,,,Bailey,Frances,Esther,representatives,McEwen,Vic.,24.3.1990,,13.3.1993,defeated,LIB
20,,,Bailey,Frances,Esther,representatives,McEwen,Vic.,2.3.1996,, ,still_in_office,LIB
21,,,Baillieu,Marshall,,representatives,La Trobe,Vic.,13.12.1975,,18.10.1980,defeated,LIB
22,,,Baird,Bruce,George,representatives,Cook,NSW,3.10.1998,,17.10.2007,retired,LIB
23,,,Baker,Mark,Horden,representatives,Braddon,Tas.,9.10.2004,,24.11.2007,defeated,LIB
24,,,Baldwin,Peter,Jeremy,representatives,Sydney,NSW,5.3.1983,,31.8.1998,retired,ALP
25,,,Baldwin,Robert,Charles,representatives,Paterson,NSW,2.3.1996,,3.10.1998,defeated,LIB
26,,,Baldwin,Robert,Charles,representatives,Paterson,NSW,10.11.2001,, ,still_in_office,LIB
27,,,Barresi,Phillip,Anthony,representatives,Deakin,Vic.,2.3.1996,,24.11.2007,defeated,LIB
28,,,Bartlett,Kerry,Joseph,representatives,Macquarie,NSW,2.3.1996,,24.11.2007,defeated,LIB
29,,,Baume,Michael,Ehrenfried,representatives,Macarthur,NSW,13.12.1975,,5.3.1983,defeated,LIB
30,,,Beale,Julian,Howard,representatives,Bruce,Vic.,24.3.1990,,2.3.1996,defeated,LIB
